code,name,degree_code,topic_name
MP01,Comunicació i atenció al client,AF,Assignatura
MP02,Gestió de la documentació jurídica i empresarial,AF,Assignatura
MP03,Procés integral de l'activitat comercial,AF,Assignatura
MP04,Recursos humans i responsabilitat social corporativa,AF,Assignatura
MP05,Ofimàtica i procés de la informació,AF,Assignatura
MP06,Anglès,AF,Assignatura
MP07,Gestió de recursos humans,AF,Assignatura
MP08,Gestió financera,AF,Assignatura
MP09,Comptabilitat i fiscalitat,AF,Assignatura
MP10,Gestió logística i comercial,AF,Assignatura
MP11,Simulació empresarial,AF,Assignatura
MP12,Formació i orientació laboral,AF,Assignatura
MP13,Projecte d’administració i finances,AF,Assignatura
MP01,Sistemes informàtics,ASIX,Assignatura
MP02,Gestió de bases de dades,ASIX,Assignatura
MP03,Programació bàsica,ASIX,Assignatura
MP04,Llenguatges de marques i sistemes de gestió d'informació,ASIX,Assignatura
MP05,Fonaments de maquinari,ASIX,Assignatura
MP06,Administració de sistemes operatius,ASIX,Assignatura
MP07,Planificació i administració de xarxes,ASIX,Assignatura
MP08,Serveis de xarxa i internet,ASIX,Assignatura
MP09,Implantació d'aplicacions web,ASIX,Assignatura
MP10,Administració de sistemes gestors de bases de dades,ASIX,Assignatura
MP11,Seguretat i alta disponibilitat,ASIX,Assignatura
MP12,Formació i orientació laboral,ASIX,Assignatura
MP13,Empresa i iniciativa emprenedora,ASIX,Assignatura
MP14,Projecte d'administració de sistemes informàtics en xarxa,ASIX,Assignatura
MP01,Sistemes informàtics,DAM,Assignatura
MP02,Bases de dades,DAM,Assignatura
MP03,Programació,DAM,Assignatura
MP04,Llenguatges de marques i sistemes de gestió d'informació,DAM,Assignatura
MP05,Entorns de desenvolupament,DAM,Assignatura
MP06,Accés a dades,DAM,Assignatura
MP07,Desenvolupament d'interfícies,DAM,Assignatura
MP08,Programació multimèdia i dispositius mòbils,DAM,Assignatura
MP09,Programació de serveis i processos,DAM,Assignatura
MP10,Sistemes de gestió empresarial,DAM,Assignatura
MP11,Formació i orientació laboral,DAM,Assignatura
MP12,Empresa i iniciativa emprenedora,DAM,Assignatura
MP13,Projecte de desenvolupament d'aplicacions multiplataforma,DAM,Assignatura
MP01,Comunicació empresarial i atenció al client,GA,Assignatura
MP02,Operacions administratives de compravenda,GA,Assignatura
MP03,Operacions administratives de recursos humans,GA,Assignatura
MP04,Operacions auxiliars de gestió de la tresoreria,GA,Assignatura
MP05,Tècnica comptable,GA,Assignatura
MP06,Tractament de la documentació comptable,GA,Assignatura
MP07,Tractament informàtic de la informació,GA,Assignatura
MP08,Operacions administratives de suport,GA,Assignatura
MP09,Anglès,GA,Assignatura
MP10,Empresa i administració,GA,Assignatura
MP11,Empresa a l'aula,GA,Assignatura
MP12,Formació i orientació laboral,GA,Assignatura
MP01,Muntatge i manteniment d'equips,SMX,Assignatura
MP02,Sistemes operatius monolloc,SMX,Assignatura
MP03,Aplicacions ofimàtiques,SMX,Assignatura
MP04,Sistemes operatius en xarxa,SMX,Assignatura
MP05,Xarxes locals,SMX,Assignatura
MP06,Seguretat informàtica,SMX,Assignatura
MP07,Serveis de xarxa,SMX,Assignatura
MP08,Aplicacions web,SMX,Assignatura
MP09,Formació i orientació laboral,SMX,Assignatura
MP10,Empresa i iniciativa emprenedora,SMX,Assignatura
MP11,Anglès tècnic,SMX,Assignatura
MP12,Síntesi,SMX,Assignatura
Tutoria1,Tutoria 1r,SMX,Tutoria 1r CF
Tutoria2,Tutoria 2n,SMX,Tutoria 2n CF
Centre,Centre,SMX,Centre
Tutoria1,Tutoria 1r,ASIX,Tutoria 1r CF
Tutoria2,Tutoria 2n,ASIX,Tutoria 2n CF
Tutoria1,Tutoria 1r,DAM,Tutoria 1r CF
Tutoria2,Tutoria 2n,DAM,Tutoria 2n CF
Tutoria1,Tutoria 1r,AF,Tutoria 1r CF
Tutoria2,Tutoria 2n,AF,Tutoria 2n CF
Tutoria1,Tutoria 1r,GA,Tutoria 1r CF
Tutoria2,Tutoria 2n,GA,Tutoria 2n CF
Centre,Centre,ASIX,Centre
Centre,Centre,DAM,Centre
Centre,Centre,AF,Centre
Centre,Centre,GA,Centre
Centre,Centre,ESO,Centre
Centre,Centre,BTX,Centre
